Mac Address Table
-------------------------------------------

Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
 All    0100.0ccc.cccd    STATIC      CPU
 All    0180.c200.0000    STATIC      CPU
 All    0180.c200.0001    STATIC      CPU
 All    0180.c200.0002    STATIC      CPU
 All    0180.c200.0003    STATIC      CPU
 All    0180.c200.0004    STATIC      CPU
 All    0180.c200.0005    STATIC      CPU
 All    0180.c200.0006    STATIC      CPU
 All    0180.c200.0007    STATIC      CPU
 All    0180.c200.0008    STATIC      CPU
 All    0180.c200.0009    STATIC      CPU
 All    0180.c200.000a    STATIC      CPU
 All    0180.c200.000b    STATIC      CPU
 All    0180.c200.000c    STATIC      CPU
 All    0180.c200.000d    STATIC      CPU
 All    0180.c200.000e    STATIC      CPU
 All    0180.c200.000f    STATIC      CPU
 All    0180.c200.0010    STATIC      CPU
 All    ffff.ffff.ffff    STATIC      CPU
  18    a414.37de.f160    DYNAMIC     Gi0/18
  18    a414.37de.f2b5    DYNAMIC     Gi0/18
  18    a414.37de.f309    DYNAMIC     Gi0/25
  18    a414.37de.f319    DYNAMIC     Gi0/18
  18    a414.37de.f3e2    DYNAMIC     Gi0/18
  18    a414.37de.f3e6    DYNAMIC     Gi0/25
  18    a414.37de.f3e7    DYNAMIC     Gi0/25
  18    a414.37de.f3ea    DYNAMIC     Gi0/18
  18    a414.37de.f425    DYNAMIC     Gi0/25
  18    a414.37de.f491    DYNAMIC     Gi0/25
  18    a414.37de.f4a2    DYNAMIC     Gi0/25
  18    a414.37de.f4b3    DYNAMIC     Gi0/25
  18    a414.37de.f54d    DYNAMIC     Gi0/25
  18    a414.37de.f554    DYNAMIC     Gi0/25
  18    a414.37de.f556    DYNAMIC     Gi0/18
  18    a414.37de.f5e7    DYNAMIC     Gi0/25
  18    a414.37de.f666    DYNAMIC     Gi0/18
  18    a414.37de.f667    DYNAMIC     Gi0/25
  18    a414.37de.f690    DYNAMIC     Gi0/18
  18    a414.37de.f6a8    DYNAMIC     Gi0/25
  18    a414.37de.f6ae    DYNAMIC     Gi0/18
  18    b4a3.822c.d074    DYNAMIC     Gi0/25
  18    b4a3.822c.d488    DYNAMIC     Gi0/18
  18    b4a3.825a.0dce    DYNAMIC     Gi0/25
  62    000c.a208.e779    DYNAMIC     Gi0/26
  64    7085.c263.1498    DYNAMIC     Gi0/16
  64    78fe.3d46.e580    DYNAMIC     Gi0/26
  66    0006.4d01.81a1    DYNAMIC     Gi0/26
  66    0006.4d01.8237    DYNAMIC     Gi0/26
  66    0006.4d01.8251    DYNAMIC     Gi0/26
  66    0006.4d01.8253    DYNAMIC     Gi0/26
  66    0006.4d01.82a9    DYNAMIC     Gi0/26
  66    0006.4d01.82bd    DYNAMIC     Gi0/26
  66    000c.a224.713d    DYNAMIC     Gi0/26
  66    3085.a9a7.f618    DYNAMIC     Gi0/26
  66    4c4e.352d.0900    DYNAMIC     Gi0/26
  66    b42e.9946.9073    DYNAMIC     Gi0/26
  66    b496.9130.5c8b    DYNAMIC     Gi0/14
  66    b4a8.b927.d499    DYNAMIC     Gi0/26
 101    0004.5f9c.d157    DYNAMIC     Gi0/25
 101    0004.5f9c.d158    DYNAMIC     Gi0/25
 101    0020.85e3.c5cc    DYNAMIC     Gi0/26
 101    0025.90dc.9640    DYNAMIC     Gi0/25
 101    0090.e83f.8dfc    DYNAMIC     Gi0/25
 101    0090.e867.d957    DYNAMIC     Gi0/25
 101    00a0.ac19.959b    DYNAMIC     Gi0/25
 101    7070.8b4c.9749    DYNAMIC     Gi0/1
 101    70b3.d592.c1a2    DYNAMIC     Gi0/25
 101    ac16.2d84.ac58    DYNAMIC     Gi0/25
 101    beeb.ea66.454a    DYNAMIC     Gi0/2
 101    cc2d.e051.1abe    DYNAMIC     Gi0/1
 103    0038.dfa7.ed56    DYNAMIC     Gi0/25
 103    0038.dfa7.ed78    DYNAMIC     Po1
 103    0038.dfa7.ef00    DYNAMIC     Po1
 103    0038.dfa7.ef46    DYNAMIC     Gi0/12
 103    0038.dfa7.efa8    DYNAMIC     Gi0/1
 103    0038.dfa7.f014    DYNAMIC     Gi0/10
 103    7070.8b4c.9749    DYNAMIC     Gi0/1
 103    c4b9.cdb6.f8c0    DYNAMIC     Gi0/1
 103    c4b9.cdb6.f8c6    DYNAMIC     Gi0/1
 104    7070.8b4c.9749    DYNAMIC     Gi0/1
 105    0003.9807.9d82    DYNAMIC     Gi0/25
 105    0003.9807.a2e9    DYNAMIC     Gi0/25
 105    0003.9807.a30f    DYNAMIC     Gi0/25
 105    0003.9808.6889    DYNAMIC     Gi0/25
 105    0003.9808.b86c    DYNAMIC     Gi0/25
 105    0003.9809.7854    DYNAMIC     Gi0/25
 105    0003.980a.0e4f    DYNAMIC     Gi0/25
